class_code,zip,location_end_date,address,longitude,pbc_code,business_end_date,ownership_name,latitude,business_name,location_start_date
,94103,,888 BRANNAN ST FOURTH FLOOR,-122.404997294,,,AIRBNB INC,37.771674082,AIRBNB INC,01/01/2012
7,94103,,888 BRANNAN ST 4TH FL,-122.404997294,7389,,AIRBNB PAYMENTS INC,37.771674082,AIRBNB PAYMENTS INC,02/16/2014
7,94111,01/31/2015,8 CALIFORNIA ST 500,-122.396452699,7389,,AIRSTONE LABS INC,37.79367941,AIRSTONE LABS,09/01/2013
7,94111,01/31/2015,8 CALIFORNIA ST 500,-122.396452699,7389,,AIRSTONE LABS INC,37.79367941,AIRSTONE LABS INC,09/01/2013
7,94107,,2265 3RD ST,-122.388471747,8200,,ALTSCHOOL INC,37.760963621,ALTSCHOOL INC,05/01/2013
,94105,,161 NATOMA ST,-122.40008166,,,AMERICAN GIANT INC,37.786176701,AMERICAN GIANT INC,10/17/2013
,94103,,45 JUNIPER ST #3,-122.412430664,,,AMPHIVENA THERAPEUTICS INC,37.771603793,AMPHIVENA THERAPEUTICS INC,02/16/2014
7,94123,,2123 BAY STREET,-122.44202587,7389,,AMPLIFY HEALTH INC,37.801953744,AMPLIFY HEALTH INC,09/01/2011
7,94103,,25 DIVISION ST 205,-122.402548695,7389,,AMPLIFY HEALTH INC,37.769843107,AMPLIFY HEALTH LLC,09/01/2012
7,94108,,240 STOCKTON ST 5TH FL,-122.406665798,7389,,ANAPLAN INC,37.788157474,ANAPLAN INC,09/01/2010
7,94107,,153 TOWNSEND ST 9059,-122.391701114,7398,,ANGELLIST LLC,37.779667461,ANGELLIST LLC,07/01/2010
7,94105,,55 SECOND ST,-122.400421583,7389,,ANKI INC,37.788523899,ANKI INC,10/01/2013
7,94102,,442 POST ST 800,-122.409113139,7389,,ANYPERK INC,37.788217687,ANYPERK INC,02/07/2014
7,94103,,325 9TH ST,-122.411151631,7389,,APIARY INC,37.773443987,APIARY.IO,08/10/2013
7,94108,,23 GEARY BLVD 800,-122.403906092,7389,,APP ANNIE INC,37.787870527,APP ANNIE INC,02/26/2014
7,94108,,650 CALIFORNIA ST 4TH FL,-122.405143634,7389,,APPDIRECT INC,37.792587997,APPDIRECT INC,02/23/2012
7,94107,,303 SECOND ST 450,-122.396350571,7389,,APPDYNAMICS INC,37.785294053,APPDYNAMICS INC,07/01/2011
7,94102,,760 MARKET ST 11TH FL,-122.405258763,7389,,APPIRIO INC,37.786253785,APPIRIO INC,05/28/2012
7,94107,,640 2ND ST 100,-122.391437242,7389,,APPLOVIN CORPORATION,37.781317529,APPLOVIN CORPORATION,10/16/2013
7,94107,,274 BRANNAN ST 401,-122.391477572,7389,,APPMESH INC,37.782333841,APPMESH INC,05/21/2012
7,94104,12/15/2014,1 MONTGOMERY ST 2800,-122.402084326,7389,,APPORTABLE INC,37.789325887,APPORTABLE INC,05/24/2011
7,94107,12/15/2014,371 5TH ST 203,-122.402241036,7389,,APPORTABLE INC,37.779384,APPORTABLE INC,01/16/2013
,94107,,657 BRYANT ST,-122.399550458,,,APPORTABLE INC,37.778346946,APPORTABLE INC,12/15/2014
7,94103,,945 BRYANT ST 350,-122.405640267,7389,,APPREDEEM INC,37.773547693,APPREDEEM INC,09/17/2012
7,94105,05/31/2015,160 SPEAR ST,-122.39318871,7389,,APPTHORITY INC,37.791797532,APPTHORITY INC,12/01/2012
7,94105,,160 SPEAR ST 1650,-122.39318871,7398,,"STREETSMART TECHNOLOGY, LLC",37.791797532,APPTHORITY INC,12/01/2012
,94105,,535 MISSION ST 14TH FLR,-122.398370538,,,APPTHORITY INC,37.789097655,APPTHORITY INC,06/01/2015
7,94107,,480 2ND ST 100,-122.39404716,7389,,APSALAR INC,37.783367438,APSALAR INC,01/05/2011
,94104,03/31/2014,101 MONTGOMERY ST 27TH FL,-122.402165718,,03/31/2014,ARIA RETIREMENT SOLUTIONS INC,37.790106639,ARIA RETIREMENT SOLUTIONS INC,01/09/2012
7,94105,,575 MARKET ST 10,-122.400660105,7389,,ARIA SYSTEMS INC,37.789828282,ARIA SYSTEMS INC,09/16/2013
,94133,,240 BAY ST #3252,-122.410812861,,,KAMLANI ARI,37.806007471,ARK CONSULTANTS,05/01/2015
2,94121,12/30/2014,287 20TH AVE,-122.479584496,414,12/30/2014,SIMONYAN ARMEN,37.782567755,ARK FLOORING,05/11/2011
2,94121,,5758 GEARY BLVD 234,-122.481350944,1510,,ARK HARDWOOD FLOORING INC,37.780327719,ARK HARDWOOD FLOORING INC,06/15/2014
7,94104,,100 MONTGOMERY ST 1100,-122.402135026,7389,,ARUSPEX INC,37.79028689,ARUSPEX INC,10/29/2008
7,94105,,71 STEVENSON ST 400,-122.400110467,7389,,ARUSPEX INC,37.789347781,ARUSPEX INC,06/02/2012
7,94103,,1550 BRYANT ST 100,-122.410704546,7370,,ASANA INC,37.76757772,ASANA INC,06/27/2011
7,94104,,340 PINE ST 403,-122.401613043,7389,,ASCENDIFY INC,37.792047577,ASCENDIFY INC,08/01/2013
7,94103,,3030 16TH ST A,-122.420291531,7389,,ASSEMBLY MADE INC,37.765038091,ASSEMBLY MADE,12/19/2013
7,94107,,953 INDIANA ST 138,-122.391244811,7389,,ASSEMBLY PHARMACEUTICALS INC,37.758744328,ASSEMBLY PHARMACEUTICALS INC,10/01/2013
8,94118,,4927 CALIFORNIA ST 3,-122.470428465,5495,,ATTUNE FOODS LLC,37.784523177,ATTUNE FOODS LLC,01/01/2014
,94104,11/01/2013,101 MONTGOMERY STREET SUITE 2650,-122.402165718,,,AUDENTES THERAPEUTICS INC,37.790106639,AUDENTES THERAPEUTICS INC,06/05/2013
,94104,,101 MONTGOMERY STREET SUITE 2650,-122.402165718,,,AUDENTES THERAPEUTICS INC,37.790106639,AUDENTES THERAPEUTICS INC,06/05/2013
7,94115,,3045 JACKSON ST 502,-122.445195798,7389,,AUDENTES THERAPEUTICS INC,37.791083117,AUDENTES THERAPEUTICS INC,06/05/2013
,94103,,1161 MISSION ST 210,-122.412231319,,,AUGMEDIX INC,37.778147602,AUGMEDIX INC,06/01/2013
,94107,,132 HAWTHORNE ST,-122.397198651,,,AUTOMATTIC INC,37.784127944,AUTOMATTIC INC,05/15/2015
7,94110,05/14/2015,60 29TH ST 343,-122.421382742,7389,,AUTOMATTIC INC,37.744058496,AUTOMATTIC INC,01/01/2010
,94109,,1825 BUSH ST,-122.427324858,,,AYLA LLC,37.787775584,AYLA LLC,07/15/2013
7,94115,07/14/2013,2130 FILLMORE ST 173,-122.433845822,7398,,AYLA LLC,37.789187614,AYLA LLC,02/14/2011
7,94107,,700 ILLINOIS ST 204,-122.387784508,7880,,HARRIS TERESA,37.762367102,AYLA HEALING ARTS,07/15/2013
7,94105,,171 2ND ST FL 3,-122.398711597,7389,,BACKOPS INC,37.787194166,BACKOPS INC,10/31/2012
,94129,,220 HALLECK ST 100,-122.45455351,,,BALANCED LABS INC,37.802368395,BALANCED LABS INC,06/05/2014
7,94121,,5954 CALIFORNIA ST,-122.481610208,7880,,BROWN PHILIP JAMES,37.784057655,BALANCED LIVING CENTER,10/16/2013
7,94107,,334 BRANNAN ST,-122.392837264,7389,,BANDPAGE INC,37.781254153,BANDPAGE INC,07/12/2012
7,94111,,639 FRONT ST 4TH FL,-122.399603463,7389,,BANYAN WATER INC,37.797434495,BANYAN WATER INC,01/25/2011
7,94105,,595 MARKET ST 920,-122.401110648,7389,,BAY DYNAMICS INC,37.789437659,BAY DYNAMICS INC,01/01/2011
8,94112,,1051 OCEAN AVE,-122.453865566,3079,,WONG SAMANTHA YEN,37.723413063,BEEP'S BURGERS,05/21/2014
,94110,,2519 MISSION ST,-122.418845417,,,BEEP INC,37.7566345,BEEP INC,09/30/2014
7,94107,,953 INDIANA ST,-122.391244811,7389,,BELL BIOSYSTEMS INC,37.758744328,BELL BIOSYSTEMS INC,11/01/2013
7,94111,,321 PACIFIC AVE 3RD FLOOR,-122.401170785,7389,,BESPOKE INNOVATIONS INC,37.797612069,BESPOKE INNOVATIONS INC,11/15/2010
7,94104,,417 MONTGOMERY ST 500,-122.402833309,7389,,BILLFLOAT INC,37.793444143,BETTER FINANCE INC,02/07/2014
7,94105,07/31/2014,165 JESSIE ST 2ND FL,-122.401841194,7389,,BETTERDOCTOR INC,37.787197623,BETTERDOCTOR INC,08/01/2012
7,94107,07/31/2014,665 3RD ST 150,-122.393291263,7389,,BETTERDOCTOR INC,37.779324081,BETTERDOCTOR INC,01/01/2012
,94103,,945 BRYANT  ROOM 350,-122.405640267,,,BETTERDOCTOR INC,37.773547693,BETTERDOCTOR INC,01/01/2012
7,94107,,139 TOWNSEND ST 400,-122.391470658,7389,,BIONIC PANDA GAMES INC,37.779847217,BIONIC PANDA GAMES INC,09/01/2011
7,94107,,665 3RD ST,-122.393291263,7389,,BIONIC PANDA GAMES INC,37.779324081,BIONIC PANDA GAMES INC,01/04/2011
7,94107,,85 FEDERAL ST 2ND FL,-122.392670183,7389,,BIONIC PANDA GAMES INC,37.782967596,BIONIC PANDA GAMES INC,05/01/2012
,94104,,580 CALIFORNIA ST 1200,-122.404082753,,,BIRDI & ASSOCIATES INC,37.792748065,BIRDI & ASSOCIATES INC,09/01/2014
7,94108,10/26/2014,153 KEARNY ST 300,-122.403812749,7389,,BIRST INC,37.789494121,BIRST INC,04/18/2009
,94105,,45 FREMONT ST FLOOR 18,-122.397341383,,,BIRST INC,37.790984632,BIRST INC,10/27/2014
,94107,,164 TOWNSEND ST #11,-122.39194852,,,BITNET TECHNOLOGIES CORP,37.779543884,BITNET TECHNOLOGIES CORP,08/15/2014
7,94107,,303 2ND ST S200,-122.396350571,7370,,BITTORRENT,37.785294053,BITTORRENT INC,05/01/2011
7,94108,,153 KEARNY ST 2ND FL,-122.403812749,7389,,BLEACHER REPORT INC,37.789494121,BLEACHER REPORT INC,07/01/2011
,94104,,100 BUSH ST 1100,-122.399832767,,,BLUEBOX SECURITY INC,37.791348142,BLUEBOX SECURITY INC,09/01/2014
7,94105,,680 MISSION ST 31F,-122.40163724,7389,,BLUEBOX SECURITY INC,37.786584609,BLUEBOX SECURITY INC,09/06/2012
,94110,,517 YORK ST,-122.409184686,,,BLUENOSE ANALYTICS INC,37.76269435,BLUENOSE ANALYTICS INC,03/31/2014
7,94114,03/31/2014,859 ELIZABETH ST,-122.439818098,7389,,BLUENOSE ANALYTICS INC,37.751732693,BLUENOSE ANALYTICS INC,11/26/2012
,94105,,88 1st ST 500,-122.397766726,,,BLUESHIFT LABS INC,37.789897419,BLUESHIFT LABS INC,06/01/2014
7,94104,,580 CALIFORNIA ST 300,-122.404083535,7389,,BLURB INC,37.792748164,BLURB INC,02/13/2006
,94107,,1501 MARIPOSA ST #412,-122.398928226,,,BOOMBOTIX INC,37.763693378,BOOMBOTIX INC,06/20/2012
13,94110,08/31/2014,3224 23RD ST B,-122.416959601,3998,,BOOMBOTIX INC,37.753963424,BOOMBOTIX INC,06/20/2012
,94107,,560 19TH ST,-122.388231594,,,BOOMBOTIX INC,37.761827834,BOOMBOTIX INC,09/01/2014
7,94110,05/18/2014,109 BARTLETT ST 109,-122.419784527,7310,,BOOSTABLE INC,37.755004021,BOOSTABLE INC,01/13/2014
,94105,,95 MINNA ST,-122.399111809,,,BOOSTABLE INC,37.787687375,BOOSTABLE INC,05/18/2014
7,94107,,139 TOWNSEND ST 300,-122.391470658,7389,,BOOYAH INC,37.779847217,BOOYAH INC,06/15/2010
,94107,,1 BLUXOME ST 213,-122.395940428,,,BOP FM INC,37.777557838,BOP FM INC,01/01/2015
7,94107,12/31/2014,414 BRANNAN ST,-122.394727006,7389,,BOP FM INC,37.779813801,BOP FM INC,10/21/2013
7,94111,,230 CALIFORNIA ST 302,-122.399293499,7389,,BOXBE INC,37.793357722,BOXBE INC,01/02/2007
7,94104,,100 MONTGOMERY ST 1900,-122.402135026,7389,,BREAKTIME STUDIOS INC,37.79028689,BREAKTIME STUDIOS INC,11/10/2011
,94124,,5800 3RD ST #1207,-122.394679763,,,WEBB NICHOLAS,37.724884527,BREEZE TELECOM,04/10/2015
,94103,,650 TOWNSEND ST 225,-122.402708251,,,ZEPHYR WAY INC,37.771015004,BREEZE LABS INC,05/11/2015
,94107,,333 BRYANT ST 360,-122.392281859,,,BREEZEWORKS CORPORATION,37.784047455,BREEZEWORKS CORPORATION,07/01/2013
,94108,,47 KEARNY ST 804,-122.403632862,,,BRIGHTFUNNEL INC,37.788544033,BRIGHTFUNNEL INC,05/15/2013
7,94107,01/01/2015,675 2ND ST,-122.390802998,7389,,BRIGHTFUNNEL INC,37.780889564,BRIGHTFUNNEL INC,05/15/2013
7,94105,,501 FOLSOM ST 2ND FL,-122.394631367,7389,,BRIGHTTALK INC,37.787157293,BRIGHTTALK INC,09/28/2010
7,94107,,300 3RD ST 902,-122.39866781,7389,,BUFFER INC,37.783517235,BUFFER INC,04/01/2013
,94111,,921 FRONT ST 100,-122.400123142,,,BUGCROWD INC,37.799902682,BUGCROWD INC,03/07/2014
,94107,,645 HARRISON ST STE 200,-122.395971471,,,CALM.COM INC,37.783657813,CALM.COM INC,05/12/2012
7,94107,,665 3RD ST 425,-122.393291263,7389,,CAMBRIAN GENOMICS INC,37.779324081,CAMBRIAN GENOMICS INC,09/13/2011
7,94105,,612 HOWARD ST 600,-122.39869777,7389,,CANTALOUPE SYSTEMS INC,37.786484361,CANTALOUPE SYSTEMS INC,04/19/2010
7,94158,,409 ILLINOIS ST,-122.388055295,8071,,CARMOT THERAPEUTICS INC,37.7661535,CARMOT THERAPEUTICS INC,01/04/2010
7,94104,03/10/2014,180 SANSOME ST 1400,-122.400785704,7389,03/10/2014,CAUSTIC GRAPHICS INC,37.791886258,CAUSTIC GRAPHICS INC,05/21/2011
7,94105,,530 HOWARD ST #300,-122.396897905,7389,,CELLSCOPE INC,37.787914342,CELLSCOPE INC,08/15/2013
8,94117,,635 LYON ST,-122.44325305,5884,,THOMAS LAETITIA M,37.776703792,CHACHA CHERIE,07/01/2006
7,94107,,101 MISSISSIPPI ST,-122.394794991,7389,,CHANNEL MEDSYSTEMS INC,37.765023112,CHANNEL MEDSYSTEMS INC,12/23/2009
7,94107,07/10/2014,303 2ND ST 200,-122.396350571,7389,,CHARTBOOST INC,37.785294053,CHARTBOOST INC,12/17/2012
,94102,,420 TAYLOR ST,-122.411335996,,,CHARTBOOST INC,37.78627695,CHARTBOOST INC,07/11/2014
,94110,,2505 MARIPOSA ST 2,-122.408698423,,,CHECKR INC,37.763082669,CHECKR INC,03/27/2015
,94103,03/27/2015,550 15TH ST,-122.406201429,,,CHECKR INC,37.767207838,CHECKR INC,10/27/2014
,94107,01/02/2014,330 TOWNSEND ST 102,-122.395818217,,,CHOOSE ENERGY INC,37.776494077,CHOOSE ENERGY INC,10/01/2012
7,94107,,330 TOWNSEND ST 212,-122.395818217,7389,,CHOOSE ENERGY INC,37.776494077,CHOOSE ENERGY INC,01/01/2014
7,94105,,480 SECOND ST 302,-122.393855864,7370,,CHUTE CORPORATION,37.783223617,CHUTE CORPORATION,05/01/2012
7,94103,,1069 HOWARD ST,-122.408681139,7398,,THE IDEA STONE LLC,37.778487525,CIRCA PROPS,06/01/2013
7,94103,,1475 FOLSOM ST 200,-122.413670519,7389,,CIRCA 1605 INC,37.77210734,CIRCA 1605 INC,02/01/2012
,94108,,360 POST ST #602,-122.407602603,,,CIRCA INC,37.788417889,CIRCA INC,07/30/2015
7,94102,,1 HALLIDINE PLAZA 503,-122.417637396,7389,,CIRCLEUP NETWORK INC,37.780459111,CIRCLEUP NETWORK INC,10/27/2011
13,94104,,582 MARKET ST 1603,-122.401418374,5060,,CIVICSOLAR INC,37.789263159,CIVICSOLAR INC,01/01/2010
,94107,,542 BRANNAN ST #114,-122.397618081,,,CLAY.IO LLC,37.777513847,CLAY.IO LLC,07/01/2014
1,94105,,201 MISSION ST 1100,-122.395090763,5102,,CLEAN POWER FINANCE INC,37.791717745,CLEAN POWER FINANCE INC,04/30/2013
7,94107,06/30/2014,303 2ND ST 680,-122.396350571,7389,,CLINKLE CORP,37.785294053,CLINKLE CORP,06/30/2013
,94107,,568 BRANNAN ST,-122.397897789,,,CLINKLE CORP,37.777292639,CLINKLE CORP,07/01/2014
,94111,,710 SANSOME ST,-122.401895352,,,HALABOO INC,37.796996628,CLOUD ENGINES INC,08/01/2014
7,94107,,665 3RD ST 207,-122.393291263,7389,,CLOUDFLARE INC,37.779324081,CLOUDFLARE INC,02/01/2011
7,94107,,128 KING ST 2ND FL,-122.390528091,7389,,CLOUDMARK INC,37.77934367,CLOUDMARK INC,11/24/2003
7,94107,,153 TOWNSEND ST 650,-122.391701114,7370,,CLOUDPASSAGE INC,37.779667461,CLOUDPASSAGE INC,01/30/2013
8,94111,,201 CALIFORNIA ST 1350,-122.399065347,5495,,CLOUDWORDS INC,37.793333524,CLOUDWORDS INC,02/08/2014
,94104,02/07/2014,400 MONTGOMERY ST 1200,-122.402705406,,,CLOUDWORDS INC,37.793116895,CLOUDWORDS INC,12/01/2010
7,94110,07/23/2013,2601 MISSIN ST 602,-122.41868525,7398,07/23/2013,CLUSTER LABS LLC,37.755233325,CLUSTER LABS LLC,01/08/2013
7,94110,09/14/2014,2601 MISSION ST 602,-122.41868525,7389,,CLUSTER LABS INC,37.755233325,CLUSTER LABS INC,05/02/2013
,94104,09/30/2014,582 MARKET ST 200,-122.401418307,,,CLUSTER LABS INC,37.789263664,CLUSTER LABS INC,09/15/2014
,94103,,1328 MISSION ST #8,-122.415118938,,,CODEHS INC,37.775943286,CODEHS INC,03/15/2014
7,94103,,30 CLARENDON AVE,-122.449410677,7389,,CODENVY INC,37.758954072,CODENVY INC,08/01/2013
,94107,,325 9TH ST,-122.41127428,,,CODENVY INC,37.77354868,CODENVY INC,06/01/2015
,94110,,535 GATES ST,-122.4141153,,,CODENVY INC,37.736587101,CODENVY INC,07/01/2015
7,94105,12/31/2014,1 MARKET ST STEUART TOWER,-122.39493096,7389,,COFFEE MEETS BAGEL INC,37.794347532,COFFEE MEETS BAGEL INC,09/01/2013
,94105,,560 MISSION ST 1367,-122.399241869,,,COFFEE MEETS BAGEL INC,37.788490277,COFFEE MEETS BAGEL INC,01/01/2014
,94107,01/31/2014,185 BERRY ST 1510,-122.393150685,,,COIN INC,37.775886825,COIN INC,06/01/2012
8,94107,12/24/2014,370 TOWNSEND ST A,-122.39659716,5495,,COIN INC,37.775883368,COIN INC,02/01/2014
,94107,,501 2ND ST #350,-122.393300482,,,COIN INC,37.782853521,COIN INC,12/25/2014
7,94107,,188 SHIPLEY ST,-122.402569352,7389,,COLINGO INC,37.780070555,COLINGO INC,05/27/2011
7,94102,,385 GROVE ST,-122.422795439,7389,,COLLUSION US INC,37.77782381,COLLUSION US INC,02/17/2014
7,94103,,972 MISSION ST FLOOR 5,-122.408117673,7389,,COMMITCHANGE CORPORATION,37.781474239,COMMITCHANGE CORPORATION,02/01/2014
,94107,,795 FOLSOM ST,-122.400846961,,,CONNECT 51 LLC,37.782250134,CONNECT 51 LLC,02/19/2015
7,94103,,731 MARKET ST 600,-122.404250616,7389,,CONNECTSOLUTIONS INC,37.786997126,CONNECTSOLUTIONS INC,12/18/2012
7,94105,,55 NEW MONTGOMERY ST 888,-122.401101553,7389,,COTAP INC,37.788007187,COTAP INC,07/01/2013
7,94103,,340 KANSAS ST,-122.403623774,7389,,COUCHSURFING INTERNATIONAL,37.76555777,COUCHSURFING INTERNATIONAL,08/22/2011
7,94105,,143 2ND ST 200,-122.39905152,7389,,COVERHOUND INC,37.78745343,COVERHOUND INC,06/04/2012
8,94103,,1000 BRANNAN ST 100,-122.407327208,5495,,COVEROO INC,37.769833888,COVEROO INC,09/21/2012
8,94103,,1234 FOLSOM ST,-122.410737962,5495,,CRAVE INNOVATIONS INC,37.774493716,CRAVE INNOVATIONS,01/01/2012
7,94104,10/06/2014,115 SANSOME ST 400,-122.4007834,7389,,CREDIT KARMA INC,37.791464523,CREDIT KARMA INC,05/01/2012
,94102,,760 MARKET ST 10TH FL,-122.405258862,,,CREDIT KARMA INSURANCE SERVICES LLC,37.786253904,CREDIT KARMA INSURANCE SERVICES LLC,08/11/2014
,94102,,760 MARKET ST 10TH FL,-122.405258862,,,CREDIT KARMA INC,37.786253904,CREDIT KARMA INC,10/07/2014
7,94110,,2111 MISSION ST 302,-122.419439654,7389,,CROWDFLOWER INC,37.762972816,CROWDFLOWER INC,01/24/2011
7,94105,,301 MISSION ST 11H,-122.396040608,7389,,CROWDMOB INC,37.790957519,CROWDMOB INC,10/24/2010
7,94103,,2012 16TH ST,-122.407041442,7389,,CRUSHPATH SYSTEMS INC,37.765837775,CRUSHPATH SYSTEMS INC,10/01/2011
7,94105,,101 CALIFORNIA ST 41ST FL,-122.397699093,7389,,CURRICULET INC,37.793465185,CURRICULET INC,05/01/2014
8,94102,,291 GEARY BLVD 201,-122.407956354,5495,,CUYANA INC,37.787363552,CUYANA INC,08/01/2013
7,94102,,49 POWELL ST 2ND FL,-122.407781118,7389,,DABO HEALTH INC,37.785111068,DABO HEALTH INC,09/10/2012
,94105,,160 SPEAR ST #1300,-122.393188634,,,DATABRICKS INC,37.791797,DATABRICKS INC,01/03/2015
,94103,,1550 BRYANT ST STE 490,-122.410704546,,,DATAMEER INC,37.76757772,DATAMEER INC,06/01/2014
7,94105,,100 FIRST ST 360,-122.39717791,7389,,DATASIFT INC,37.789437659,DATASIFT INC,05/03/2011
7,94105,,100 FIRST ST 360,-122.39717791,7389,,DATASIFT SOLUTIONS INC,37.789437659,DATASIFT SOLUTIONS INC,12/07/2011
,94107,,836 HARRISON ST,-122.400587512,,,DATASNAP.IO INC,37.780084587,DATASNAP.IO INC,07/01/2014
7,94107,,360 RITCH ST LEVEL 3,-122.393948064,7389,,DEKKO INC,37.778917326,DEKKO INC,01/01/2012
,94103,,224 11th ST,-122.415188075,,,DELECTABLE INC,37.772777968,DELECTABLE INC,01/01/2014
8,94104,,300 CALIFORNIA ST 3RD FL.,-122.400322784,5495,,DELIVERY AGENT INC,37.793217769,DELIVERY AGENT INC,04/28/2008
7,94105,,301 HOWARD ST 1800,-122.39450101,7389,,DEMANDBASE INC,37.789707222,DEMANDBASE INC,01/01/2012
,94107,,360 RITCH ST 300,-122.393948064,,,DEPICT INC,37.778917326,DEPICT INC,06/01/2014
,94107,,360 RITCH ST 300,-122.393948064,,,DEPICT INC,37.778917326,DEPICT INC,06/01/2014
7,94103,,1061 MARKET ST 501,-122.411693039,7389,,DESMOS INC,37.781099614,DESMOS INC,05/07/2012
7,94123,,3661 BUCHANAN ST 3RD FL,-122.433512812,7389,,DIVIDEND SOLAR INC,37.803883816,DIVIDEND SOLAR INC,10/11/2013
,94110,,3360 20TH ST,-122.416131903,,,DIY CO,37.758838415,DIY CO,05/26/2014
7,94110,06/02/2014,3579 17TH ST,-122.425727996,7370,,DIY CO,37.76302275,DIY CO,12/01/2011
,94118,05/31/2015,427 8th AVE 2,-122.466413915,,05/31/2015,LEE THOMAS T,37.780297759,DIY LOBBYIST,11/01/2013
,94103,,650 TOWNSEND ST 245,-122.402708251,,,DOBLET INC,37.771015004,DOBLET INC,10/01/2014
,94104,12/14/2014,180 SANSOME ST FLOOR 16,-122.400785704,,,DOCKER INC,37.791886258,DOCKER INC,10/18/2010
,94107,,475 BRANNAN ST 330,-122.395670725,,,DOCKER INC,37.778997986,DOCKER INC,12/15/2014
7,94105,,121 SPEAR ST 300,-122.393170274,7389,,DOCTOR ON DEMAND INC,37.791863212,DOCTOR ON DEMAND INC,01/01/2013
8,94104,,111 SUTTER ST 10TH FL,-122.402556761,5495,,DOCUSIGN INC,37.789943511,DOCUSIGN INC,05/04/2010
7,94108,12/31/2014,27 MAIDEN LN 700,-122.403985591,7389,12/31/2014,DOGTIME MEDIA INC,37.788313032,DOGTIME MEDIA INC,06/25/2008
7,94111,,150 GREEN ST,-122.401869315,7389,,DOKOGEO INC,37.800437358,DOKOGEO INC,01/01/2012
7,94110,,2601 MISSION ST 800,-122.41868525,7389,,DOUBLEDUTCH INC,37.755233325,DOUBLEDUTCH INC,01/01/2011
,94105,05/07/2014,568 HOWARD ST,-122.397688371,,05/07/2014,DOUBLETWIST CORPORATION,37.787284044,DOUBLETWIST CORPORATION,07/01/2010
7,94124,,1101 FAIRFAX AVE 204,-122.383981871,7880,,TOGIAI EUGENIA F,37.739500517,DOWN LOW IND CONTR SRVCS WORKF,06/01/2014
8,94110,06/30/2014,629 GUERRERO ST 11,-122.423704589,612,06/30/2014,PARKER KAILEN,37.761044283,DOWN HOME SWEETS,09/16/2013
,94108,,899 PINE ST UNIT 904,-122.410255349,,,FORONDA CRISTIAN,37.790893722,DOWN THE RABBIT HOLE PUBLISHING,06/01/2015
7,94103,,1087 MISSION ST 3RD FL,-122.410540922,7389,,DRAWN TO SCALE INC,37.779457746,DRAWN TO SCALE INC,03/01/2012
7,94111,,639 FRONT ST 4TH FL,-122.399603463,7389,,DRIVERSIDE INC,37.797434495,DRIVERSIDE INC,01/03/2011
,94124,,1530 CUSTER AVE,-122.389768318,,,DROP LOCK AND ROLL LLC,37.745654817,DROP LOCK AND ROLL,07/21/2014
,94110,,3001 22ND ST,-122.414617695,,,LAUNDRY LOCKER INC,37.755673497,DROP N WASH,09/01/2014
7,94108,03/10/2015,16 MAIDEN LN 5TH FL,-122.404023616,7389,,DUETTO RESEARCH INC,37.788368341,DUETTO RESEARCH INC,02/24/2012
,94108,,250 SUTTER ST 400,-122.404732269,,,DUETTO RESEARCH INC,37.789747623,DUETTO RESEARCH INC,03/10/2015
